feature,module,pane,category,category_source,criteria,scored,dtype,fill_rate,n_unique,include_in_plot,exclude_reason,encodable_as,transform,label,derived_from,duplicate_of,null_pattern,fill_separate_orfs
n_isoform_sae_unique_region_top_features,sae,isoform,S,module_map,,False,int,1.0,12,True,,numeric,log1p,,isoform_sae_unique_region_top_features,,,1.0
isoform_core_identity_canonical_protein_length,core_identity,isoform,-,none,,False,int,1.0,1215,False,redundant,numeric,log1p,,,canonical_per_tid_length,,1.0
isoform_core_identity_differential_length_aa,core_identity,isoform,-,none,,False,int,1.0,1024,False,redundant,numeric,linear,,,diff_end,,1.0
isoform_core_identity_in_frame,core_identity,isoform,-,none,,False,bool,1.0,2,False,binary,binary_0_1,-,,,,,
isoform_core_identity_isoform_protein_length,core_identity,isoform,-,none,,False,int,1.0,1314,False,redundant,numeric,log1p,,,isoform_biophysics_length,,1.0
isoform_core_identity_large_truncation_warning,core_identity,isoform,-,none,,False,bool,1.0,2,False,binary,binary_0_1,-,,,,,
isoform_core_identity_orf_type,core_identity,isoform,-,none,,False,str,1.0,6,False,categorical,one_hot,-,,,,,
isoform_core_identity_variant_id,core_identity,isoform,-,none,,False,str,1.0,6462,False,identifier,-,-,,,,,
generef_function,generef,site,-,none,,False,str,0.9971,3279,False,free_text,text_embedding,-,,,,,
generef_keywords,generef,site,-,none,,False,str,0.946,2895,False,free_text,text_embedding,-,,,,,
generef_subcellular_location,generef,site,-,none,,False,str,0.8836,908,False,free_text,text_embedding,-,,,,,
generef_uniprot_id,generef,site,-,none,,False,str,0.9971,3353,False,identifier,-,-,,,,,
isoform_scoring_criteria.C1_primate_conservation,scoring,isoform,-,none,,False,bool,0.9944,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.C2_mammalian_conservation,scoring,isoform,-,none,,False,bool,0.9944,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.C3_phylop_coding_selection,scoring,isoform,-,none,,False,bool,0.9944,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.D1_multi_cell_line,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.D2_initiation_efficiency,scoring,isoform,-,none,,False,bool,0.9933,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.D3_mass_spec,scoring,isoform,-,none,,False,bool,0.942,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.L1_localization_change,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.L2_targeting_change,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.M1_pathogenic_variant_enrichment,scoring,isoform,-,none,,False,bool,0.9446,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.M2_clinical_variant_overlap,scoring,isoform,-,none,,False,bool,0.9415,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.P1_structured_extension,scoring,isoform,-,none,,False,bool,0.8528,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.P2_shared_structural_change,scoring,isoform,-,none,,False,bool,0.6521,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.P3_secondary_structure,scoring,isoform,-,none,,False,bool,0.8528,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.S1_domain_change,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.S2_biophysics,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_criteria.S3_sae,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_existence_evaluable,scoring,isoform,-,none,,False,int,1.0,5,False,derived_from_features,-,linear,,,,,
isoform_scoring_existence_high_confidence,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_existence_score,scoring,isoform,-,none,,False,int,1.0,7,False,derived_from_features,-,linear,,,,,
isoform_scoring_functional_evaluable,scoring,isoform,-,none,,False,int,1.0,6,False,derived_from_features,-,linear,,,,,
isoform_scoring_functional_high_confidence,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_functional_score,scoring,isoform,-,none,,False,int,1.0,11,False,derived_from_features,-,linear,,,,,
isoform_scoring_reasons.C1_primate_conservation,scoring,isoform,-,none,,False,str,1.0,876,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.C2_mammalian_conservation,scoring,isoform,-,none,,False,str,1.0,1878,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.C3_phylop_coding_selection,scoring,isoform,-,none,,False,str,1.0,5690,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.D1_multi_cell_line,scoring,isoform,-,none,,False,str,1.0,6,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.D2_initiation_efficiency,scoring,isoform,-,none,,False,str,1.0,446,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.D3_mass_spec,scoring,isoform,-,none,,False,str,1.0,9,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.L1_localization_change,scoring,isoform,-,none,,False,str,1.0,8,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.L2_targeting_change,scoring,isoform,-,none,,False,str,1.0,4,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.M1_pathogenic_variant_enrichment,scoring,isoform,-,none,,False,str,1.0,5693,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.M2_clinical_variant_overlap,scoring,isoform,-,none,,False,str,1.0,5948,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.P1_structured_extension,scoring,isoform,-,none,,False,str,1.0,570,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.P2_shared_structural_change,scoring,isoform,-,none,,False,str,1.0,4257,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.P3_secondary_structure,scoring,isoform,-,none,,False,str,1.0,2911,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.S1_domain_change,scoring,isoform,-,none,,False,str,1.0,44,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.S2_biophysics,scoring,isoform,-,none,,False,str,1.0,8,False,derived_from_features,-,-,,,,,
isoform_scoring_reasons.S3_sae,scoring,isoform,-,none,,False,str,1.0,6458,False,derived_from_features,-,-,,,,,
isoform_scoring_summary.existence_axis_complete,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_summary.functional_axis_complete,scoring,isoform,-,none,,False,bool,1.0,2,False,derived_from_features,-,-,,,,,
isoform_scoring_summary.n_criteria_evaluable,scoring,isoform,-,none,,False,int,1.0,9,False,derived_from_features,-,log1p,,,,,
isoform_scoring_summary.n_criteria_total,scoring,isoform,-,none,,False,int,1.0,1,False,derived_from_features,-,log1p,,,,,
aa_len,site,site,-,none,,False,int,1.0,1314,False,redundant,numeric,log1p,,,isoform_biophysics_length,,1.0
canonical_kozak_context,site,site,-,none,,False,str,1.0,3355,False,free_text,text_embedding,-,,,,,
canonical_len,site,site,-,none,,False,int,1.0,1223,False,redundant,numeric,log1p,,,canonical_biophysics_length,,1.0
canonical_orf_exons,site,site,-,none,,False,list,1.0,72,False,list,count,-,,,,,
canonical_per_tid_differs_from_gene,site,site,-,none,,False,bool,1.0,2,False,binary,binary_0_1,-,,,,,
canonical_per_tid_length,site,site,-,none,,False,int,1.0,1215,True,,numeric,log1p,,,,,1.0
canonical_start_codon,site,site,-,none,,False,str,1.0,5,False,free_text,text_embedding,-,,,,,
canonical_transcript_id,site,site,-,none,,False,str,1.0,3371,False,identifier,-,-,,,,,
chrom,site,site,-,none,,False,str,1.0,24,False,identifier,-,-,,,,,
diff_end,site,site,-,none,,False,int,1.0,1024,True,,numeric,linear,,,,,1.0
diff_region_confidence,site,site,-,none,,False,str,1.0,5,False,status_string,one_hot,-,,,,,
diff_space,site,site,-,none,,False,str,1.0,2,False,status_string,one_hot,-,,,,,
diff_start,site,site,-,none,,False,int,1.0,1,False,constant,-,linear,,,,,
differential_sequence,site,site,-,none,,False,str,1.0,6317,False,free_text,text_embedding,-,,,,,
gene_id,site,site,-,none,,False,str,1.0,3371,False,identifier,-,-,,,,,
gene_name,site,site,-,none,,False,str,1.0,3371,False,identifier,-,-,,,,,
isoform_len,site,site,-,none,,False,int,1.0,1314,False,redundant,numeric,log1p,,,isoform_biophysics_length,,1.0
kozak_context,site,site,-,none,,False,str,1.0,6435,False,free_text,text_embedding,-,,,,,
n_canonical_orf_exons,site,site,-,none,,False,int,1.0,72,True,,numeric,log1p,,canonical_orf_exons,,,1.0
n_orf_exons,site,site,-,none,,False,int,1.0,64,True,,numeric,log1p,,orf_exons,,,1.0
n_shared_genomic_intervals,site,site,-,none,,False,int,1.0,64,True,,numeric,log1p,,shared_genomic_intervals,,,1.0
n_unique_genomic_intervals,site,site,-,none,,False,int,1.0,62,True,,numeric,log1p,,unique_genomic_intervals,,,1.0
orf_exons,site,site,-,none,,False,list,1.0,64,False,list,count,-,,,,,
orf_type,site,site,-,none,,False,str,1.0,6,False,categorical,one_hot,-,,,,,
position,site,site,-,none,,False,int,1.0,6462,False,identifier,-,linear,,,,,
shared_genomic_intervals,site,site,-,none,,False,list,1.0,64,False,list,count,-,,,,,
start_codon,site,site,-,none,,False,str,1.0,10,False,free_text,text_embedding,-,,,,,
strand,site,site,-,none,,False,str,1.0,2,False,identifier,-,-,,,,,
tis_id,site,site,-,none,,False,str,1.0,6462,False,identifier,-,-,,,,,
transcript_id,site,site,-,none,,False,str,1.0,3636,False,identifier,-,-,,,,,
unique_genomic_intervals,site,site,-,none,,False,list,1.0,62,False,list,count,-,,,,,
