feature,module,pane,category,category_source,criteria,scored,dtype,fill_rate,n_unique,include_in_plot,exclude_reason,encodable_as,transform,label,derived_from,duplicate_of,null_pattern,fill_separate_orfs
cmp_biophysics_rg_fg_density_ratio,biophysics,cmp,S,module_map,,False,float,0.6801,1763,True,,numeric,signed_log,,,,absent_for_separate_orfs,0.0
cmp_biophysics_rg_fg_density_shared,biophysics,cmp,S,module_map,,False,float,0.9118,1908,True,,numeric,linear,,,,absent_for_separate_orfs,0.0
cmp_biophysics_rg_fg_density_unique,biophysics,cmp,S,module_map,,False,float,0.9118,1193,True,,numeric,linear,,,,absent_for_separate_orfs,0.0
cmp_biophysics_shannon_entropy_delta,biophysics,cmp,S,module_map,,False,float,1.0,3132,True,,numeric,signed_log,,,,,1.0
cmp_biophysics_shannon_entropy_enriched,biophysics,cmp,S,module_map,,False,bool,0.9118,2,False,binary,binary_0_1,-,,,,,
cmp_biophysics_shannon_entropy_ratio,biophysics,cmp,S,module_map,,False,float,0.9118,5884,True,,numeric,signed_log,,,,absent_for_separate_orfs,0.0
cmp_biophysics_shannon_entropy_shared,biophysics,cmp,S,module_map,,False,float,0.9118,2923,True,,numeric,linear,,,,absent_for_separate_orfs,0.0
cmp_biophysics_shannon_entropy_unique,biophysics,cmp,S,module_map,,False,float,0.9118,3456,True,,numeric,linear,,,,absent_for_separate_orfs,0.0
diff_biophysics_aa_diversity,biophysics,diff,S,module_map,,False,float,0.9817,16,True,,numeric,linear,,,,,1.0
diff_biophysics_aromaticity,biophysics,diff,S,module_map,,False,float,0.9817,1092,True,,numeric,linear,,,,,1.0
diff_biophysics_disorder,biophysics,diff,S,module_map,,False,float,0.9817,3140,True,,numeric,linear,,,,,1.0
diff_biophysics_fraction_charged,biophysics,diff,S,module_map,,False,float,0.9817,1679,True,,numeric,linear,,,,,1.0
diff_biophysics_fraction_disorder_promoting,biophysics,diff,S,module_map,,False,float,0.9817,1934,True,,numeric,linear,,,,,1.0
diff_biophysics_fraction_lcr,biophysics,diff,S,module_map,,False,float,0.9817,1655,True,,numeric,linear,,,,,1.0
diff_biophysics_gravy,biophysics,diff,S,module_map,,False,float,0.9817,4736,True,,numeric,linear,,,,,1.0
diff_biophysics_instability_index,biophysics,diff,S,module_map,,False,float,0.9817,5785,True,,numeric,linear,,,,,1.0
diff_biophysics_length,biophysics,diff,S,module_map,,False,float,0.9817,1022,True,,numeric,log1p,,,,,1.0
diff_biophysics_llps_score,biophysics,diff,S,module_map,,False,float,0.9817,2338,True,,numeric,linear,,,,,1.0
diff_biophysics_longest_homopolymer,biophysics,diff,S,module_map,,False,float,0.9817,16,True,,numeric,linear,,,,,1.0
diff_biophysics_mean_window_entropy,biophysics,diff,S,module_map,,False,float,0.9817,3456,True,,numeric,linear,,,,,1.0
diff_biophysics_normalized_complexity,biophysics,diff,S,module_map,,False,float,0.9817,2231,True,,numeric,linear,,,,,1.0
diff_biophysics_pI,biophysics,diff,S,module_map,,False,float,0.9817,1251,True,,numeric,linear,,,,,1.0
diff_biophysics_pipi_propensity,biophysics,diff,S,module_map,,False,float,0.9817,1421,True,,numeric,linear,,,,,1.0
diff_biophysics_prionlike_fraction,biophysics,diff,S,module_map,,False,float,0.9817,1445,True,,numeric,linear,,,,,1.0
diff_biophysics_rg_fg_density,biophysics,diff,S,module_map,,False,float,0.9817,1224,True,,numeric,linear,,,,,1.0
diff_biophysics_shannon_entropy,biophysics,diff,S,module_map,,False,float,0.9817,3659,True,,numeric,linear,,,,,1.0
isoform_biophysics_aa_diversity,biophysics,isoform,S,module_map,,False,int,1.0,17,True,,numeric,linear,,,,,1.0
isoform_biophysics_aromaticity,biophysics,isoform,S,module_map,,False,float,1.0,1323,True,,numeric,linear,,,,,1.0
isoform_biophysics_disorder,biophysics,isoform,S,module_map,,False,float,1.0,2489,True,,numeric,linear,,,,,1.0
isoform_biophysics_fraction_charged,biophysics,isoform,S,module_map,,False,float,1.0,2238,True,,numeric,linear,,,,,1.0
isoform_biophysics_fraction_disorder_promoting,biophysics,isoform,S,module_map,,False,float,1.0,2476,True,,numeric,linear,,,,,1.0
isoform_biophysics_fraction_lcr,biophysics,isoform,S,module_map,,False,float,1.0,2166,True,,numeric,linear,,,,,1.0
isoform_biophysics_gravy,biophysics,isoform,S,module_map,,False,float,1.0,5124,True,,numeric,linear,,,,,1.0
isoform_biophysics_instability_index,biophysics,isoform,S,module_map,,False,float,1.0,6404,True,,numeric,linear,,,,,1.0
